,NADH,cell_index,celltype,n.p.mean,n.t1.mean,n.t2.mean,n.a1.mean,n.chi.mean,f.p.mean,f.t1.mean,f.t2.mean,f.a1.mean,f.a2.mean,f.chi.mean,rr.mean,n.tm.mean,f.tm.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,npix,Label_Count,Group
531,neurons-009,94,cell,310.7722772,506.3837822,2852.86505,71.46198366,1.059503069,112.0693069,129.1122351,1781.875149,87.64944307,12.35055777,1.033792,0.732558093,1154.264743,332.5330826,83.42868748,115.142592,535.7822046,7.49214502,0.119843248,39.23554522,22.98459448,113.0344874,2.210532033,2.210530606,0.130052472,0.069836982,143.6651458,54.50966909,202,198,AC
54,neurons-009,94,cyto,312.1313131,504.7611919,2852.52303,71.26832121,1.059080439,112.7828283,129.1468561,1780.183333,87.6085202,12.39148045,1.035625313,0.732079697,1157.197514,333.0514504,83.51529803,114.8421855,537.8387219,7.419387868,0.120776433,39.28715459,23.08061568,112.4067879,2.212538235,2.212537008,0.129267445,0.070192363,143.3573499,54.76753505,198,198,AC
317,neurons-010,100,cell,333.4344262,506.1977131,2488.156475,74.80449672,1.079919352,104.3770492,170.5463689,1830.399836,85.20042951,14.79957049,1.038103426,0.749291372,998.8851276,415.6980386,105.9537547,73.05500143,268.3765782,3.962450948,0.111489717,18.63273928,20.01510023,107.0896755,1.246762896,1.246762896,0.093575416,0.065438417,69.16506936,31.1070948,122,114,AC
412,neurons-010,100,cyto,340.245614,508.8991754,2487.140965,74.77879123,1.083761509,105.2719298,168.7225351,1823.593158,85.12722982,14.87277018,1.030623316,0.75256663,1000.972067,414.3638437,103.9561311,73.2361147,268.5513275,3.976198087,0.112594584,18.4751855,18.55814481,104.5277016,1.224699188,1.224699188,0.089801305,0.062430727,67.31616294,30.20442984,114,114,AC
59,neurons-010,109,cell,339.9938272,515.627821,2772.015432,73.24839136,1.130004395,97.84567901,176.6758889,1788.722901,85.45939136,14.54060864,1.021577111,0.766947451,1110.630337,409.9816213,106.6687854,79.63523431,375.2529322,5.195177335,0.12762513,17.38656974,19.85524453,117.5731614,1.336285293,1.336285293,0.099026878,0.051961001,129.4131871,27.86131787,162,147,AC
65,neurons-010,109,cyto,350.4489796,518.0266667,2785.586667,73.09446259,1.136328946,99.61904762,175.5550272,1801.234694,85.55764966,14.44235034,1.02327883,0.769783206,1118.889745,409.4116279,104.8944795,80.65613121,373.1048456,5.255472148,0.125584694,17.03233562,18.85899718,112.2929087,1.274399691,1.274399691,0.099410334,0.050868546,127.1776924,27.53182787,147,147,AC
75,neurons-010,118,cell,295.2331288,500.9559141,2703.692454,75.80955276,1.061183387,94.69325153,211.1203374,1895.193006,85.09739448,14.90260552,1.05958384,0.745700254,1021.996194,459.8621088,93.60678002,87.74399862,431.6321787,4.431046028,0.108906561,19.38318327,30.66781484,164.2508732,1.966907448,1.966907448,0.118008757,0.068926962,111.0828363,41.74365267,163,147,AC
85,neurons-010,118,cyto,301.5646259,503.3818027,2691.817143,75.60689456,1.061798633,96.43537415,211.2502925,1904.693265,85.14216463,14.85783537,1.063636014,0.746618412,1025.484549,460.8119574,92.21580318,88.56071558,426.2447918,4.467169052,0.111343991,18.5682997,31.04495505,157.0858764,1.915544034,1.915544034,0.114010477,0.066885873,111.0891433,42.29089748,147,147,AC
95,neurons-010,128,cell,336.171875,507.3958203,2697.348047,74.68572188,1.151496359,105.796875,188.6606719,1793.187266,84.05508984,15.94491016,1.019832594,0.746570952,1052.478212,443.5536981,119.8541837,68.50710213,313.6590074,4.7202982,0.120255334,22.75247131,31.81514722,120.9013657,1.815471267,1.815471267,0.114565586,0.072811162,79.69215178,51.90096002,128,126,AC
105,neurons-010,128,cyto,338.5634921,508.025,2694.622857,74.63265952,1.151059556,106.2142857,188.7572778,1795.325556,84.04191746,15.95808254,1.022006571,0.747391648,1053.382221,444.1655046,119.196946,68.34581639,315.3253932,4.735615974,0.121138874,22.68659768,32.04618875,120.2581868,1.824264326,1.824264326,0.11406542,0.072896696,79.9008528,52.0777745,126,126,AC
115,neurons-010,137,cell,353.2307692,512.2010769,2602.137385,72.23186308,1.130341292,93.55384615,191.3124308,1876.158,85.4038,14.5962,0.989051677,0.777140822,1084.288448,435.7483392,119.0490667,71.49563473,315.5082943,3.936663319,0.101065033,25.21286302,32.03244434,164.3378486,1.808824,1.808824,0.101329273,0.082018984,78.6641209,52.88573324,65,62,AC
125,neurons-010,137,cyto,359.2741935,511.0780645,2602.356129,72.15626452,1.132846032,94.11290323,191.5092097,1873.232258,85.3332629,14.6667371,0.991336597,0.779218928,1084.828863,436.6606284,118.4336529,69.35374809,319.8332867,3.969784395,0.102253658,25.67585128,32.74125284,165.7895071,1.821957646,1.821957646,0.096033757,0.08334637,79.10579343,53.89401219,62,62,AC
135,neurons-010,146,cell,349.9076923,495.0442692,2867.585077,78.75641538,1.129338177,101.4615385,206.8430769,1989.466308,84.40359692,15.59640308,1.0547688,0.758992551,993.6173323,483.6487234,131.1383343,63.91459528,317.1455284,3.924840451,0.155880693,19.51749517,27.94791907,181.8492753,1.580422541,1.580422541,0.127896861,0.072555371,79.227569,45.81372648,130,109,AC
145,neurons-010,146,cyto,366.0825688,498.4769266,2882.488899,78.70966514,1.141954945,106.7522936,205.7700275,2001.921101,84.17595138,15.82404862,1.073032284,0.756131595,1000.867391,488.8280661,133.7977418,61.58621065,306.0602993,4.018733892,0.156151944,16.11713832,28.89043752,171.5583453,1.508633424,1.508633424,0.127796189,0.076517734,78.14943551,46.48179982,109,109,AC
155,neurons-010,155,cell,371.945122,502.0069146,2814.196463,74.73918415,1.11986228,140.1890244,202.9029512,1882.220732,82.6196128,17.3803872,1.06510236,0.712994886,1076.335953,493.6939098,134.6688396,66.13702863,364.2373028,4.252794112,0.13819981,42.04461115,21.20446861,110.7955017,1.583674653,1.583674653,0.138473679,0.085082253,91.06702825,32.42463799,164,147,AC
165,neurons-010,155,cyto,384.1564626,507.805585,2830.008095,74.44095306,1.123008252,142.5102041,202.8991633,1875.859796,82.48453265,17.51546735,1.066762782,0.718356311,1091.392743,494.8737516,129.7770322,66.58449954,361.9616637,4.211047145,0.140399333,42.31541177,21.20456787,111.5136673,1.556319225,1.556319225,0.136671619,0.082938197,81.60448115,32.56493983,147,147,AC
175,neurons-010,164,cell,299.4723926,478.4972086,2572.464233,78.7683184,1.113307534,100.0122699,197.6341166,1843.585583,85.75219693,14.24780282,1.032795399,0.732565899,917.7907683,430.4635118,109.9201345,63.48674961,290.9287122,3.834586489,0.120385755,16.83323716,21.06655689,136.6615264,1.929681943,1.929682544,0.103580623,0.076990761,85.64958039,34.14163371,163,156,AC
185,neurons-010,164,cyto,302.2628205,479.7556667,2568.595833,78.59569936,1.112745308,99.62820513,197.8078141,1840.805385,85.74070577,14.25929397,1.036413917,0.734816149,921.6537914,430.3393048,111.1883675,64.24736493,294.2459866,3.819750302,0.121748222,16.89367813,21.35140693,138.6338439,1.970943475,1.970944092,0.10397491,0.077286608,85.33296257,34.74293058,156,156,AC
195,neurons-010,173,cell,339.2380952,504.0739405,2706.95494,75.71855238,1.16954081,112.9821429,209.1747202,1804.697976,82.65646726,17.34353274,1.024502375,0.73561583,1024.374949,484.6027278,116.7118997,70.44551799,375.7378937,5.829327726,0.155400978,19.10747204,25.7129457,126.5772221,1.95227973,1.95227973,0.106830984,0.071424251,96.13992633,39.16108056,168,143,AC
205,neurons-010,173,cyto,358.6993007,513.6591119,2746.964056,76.11952867,1.171226944,113.2377622,211.0116294,1806.29951,82.67511678,17.32488322,1.024211503,0.748730883,1032.873036,486.2332696,111.9673012,65.06641316,364.1443534,5.860924555,0.154116141,19.04699823,26.7888858,128.1384241,1.927989567,1.927989567,0.107185393,0.06141776,91.50265557,41.53616899,143,143,AC
215,neurons-010,18,cell,377.2361809,523.4517638,2691.521508,70.31363367,1.080908372,130.8944724,185.2280101,1896.178191,83.82583417,16.17416583,1.033277452,0.734057595,1157.543841,460.8998285,121.3704967,87.02094185,317.6347989,5.16842331,0.117976405,33.71664337,22.28855272,118.5986576,1.751520849,1.751520849,0.105023151,0.059843029,89.47883919,38.09681318,199,198,AC
225,neurons-010,18,cyto,377.7575758,522.6659747,2688.904141,70.27395909,1.08019902,130.9292929,185.3477727,1896.413889,83.81022828,16.18977172,1.034149323,0.734287975,1157.17025,461.2964153,121.4545175,86.53083253,316.2812298,5.151054849,0.117849238,33.79852294,22.28076616,118.8525537,1.742035241,1.742035241,0.10456487,0.059906187,89.54992541,37.77931585,198,198,AC
235,neurons-010,182,cell,289.9,484.92008,2655.798533,76.21888267,1.101701227,111.2466667,214.4606267,1801.6558,83.02206133,16.97793867,1.0148915,0.714215858,989.5685693,480.7564166,83.99878155,64.96985141,363.3906955,4.629254018,0.136390069,22.44813161,23.93659626,155.509127,2.631834826,2.631834826,0.107037032,0.059040165,86.55289326,35.90329613,150,116,AC
